lamda;cuentas
304.85;774.50
304.99;771.50
305.12;771.95
305.25;771.45
305.39;768.35
305.52;765.05
305.65;768.00
305.79;767.80
305.92;771.35
306.05;770.60
306.19;767.70
306.32;765.35
306.45;768.30
306.59;766.50
306.72;762.35
306.85;758.35
306.98;761.00
307.12;762.90
307.25;759.70
307.38;759.25
307.52;770.85
307.65;770.05
307.78;765.00
307.92;763.60
308.05;768.10
308.18;766.80
308.32;767.75
308.45;770.10
308.58;772.25
308.72;772.30
308.85;765.65
308.98;766.90
309.12;769.60
309.25;775.05
309.38;773.90
309.51;772.75
309.65;773.45
309.78;770.65
309.91;761.65
310.05;761.25
310.18;768.65
310.31;765.70
310.45;765.15
310.58;767.95
310.71;768.55
310.85;757.35
310.98;758.55
311.11;758.10
311.24;759.30
311.38;758.80
311.51;761.65
311.64;763.70
311.78;763.50
311.91;765.20
312.04;769.10
312.18;771.15
312.31;773.90
312.44;778.35
312.58;777.55
312.71;772.75
312.84;775.30
312.97;770.15
313.11;767.30
313.24;761.60
313.37;759.95
313.51;752.30
313.64;751.60
313.77;752.65
313.90;760.20
314.04;760.80
314.17;761.20
314.30;760.15
314.44;757.35
314.57;752.20
314.70;752.45
314.84;761.05
314.97;763.80
315.10;768.05
315.23;766.05
315.37;769.35
315.50;764.65
315.63;761.15
315.77;758.05
315.90;765.85
316.03;767.90
316.16;766.25
316.30;766.40
316.43;764.10
316.56;756.15
316.70;752.90
316.83;752.05
316.96;758.80
317.09;764.05
317.23;766.65
317.36;763.70
317.49;770.20
317.63;758.05
317.76;753.80
317.89;754.05
318.02;755.80
318.16;752.70
318.29;764.70
318.42;769.10
318.56;773.10
318.69;777.70
318.82;775.65
318.95;771.95
319.09;770.35
319.22;769.65
319.35;762.80
319.48;762.95
319.62;760.95
319.75;760.60
319.88;756.10
320.02;762.85
320.15;762.20
320.28;763.45
320.41;760.95
320.55;762.90
320.68;760.25
320.81;762.10
320.94;761.30
321.08;765.50
321.21;767.35
321.34;769.40
321.48;771.00
321.61;771.90
321.74;769.60
321.87;768.65
322.01;767.65
322.14;767.45
322.27;768.40
322.40;772.80
322.54;767.80
322.67;762.45
322.80;759.65
322.93;754.40
323.07;747.70
323.20;748.40
323.33;752.35
323.47;757.25
323.60;758.55
323.73;761.20
323.86;763.75
324.00;763.20
324.13;762.20
324.26;765.90
324.39;765.25
324.53;764.00
324.66;760.90
324.79;757.50
324.92;758.30
325.06;763.85
325.19;768.30
325.32;774.55
325.45;773.75
325.59;772.90
325.72;764.60
325.85;763.45
325.98;754.75
326.12;754.25
326.25;751.25
326.38;752.55
326.51;756.35
326.65;763.90
326.78;763.90
326.91;765.20
327.04;764.65
327.18;756.40
327.31;755.60
327.44;765.25
327.57;764.95
327.71;766.55
327.84;767.75
327.97;764.55
328.10;757.80
328.24;759.35
328.37;759.25
328.50;761.70
328.63;763.20
328.77;764.50
328.90;766.05
329.03;765.00
329.16;763.60
329.30;763.75
329.43;762.25
329.56;760.60
329.69;763.50
329.83;762.90
329.96;763.35
330.09;761.30
330.22;760.45
330.35;754.85
330.49;754.75
330.62;755.00
330.75;756.80
330.88;761.40
331.02;770.60
331.15;772.20
331.28;770.65
331.41;765.10
331.55;758.10
331.68;753.15
331.81;755.65
331.94;756.80
332.07;760.10
332.21;766.00
332.34;765.65
332.47;762.80
332.60;759.80
332.74;762.85
332.87;761.75
333.00;759.05
333.13;756.25
333.27;759.30
333.40;761.15
333.53;759.40
333.66;762.75
333.79;767.35
333.93;768.85
334.06;763.90
334.19;767.90
334.32;767.90
334.46;764.10
334.59;761.15
334.72;758.55
334.85;752.85
334.98;747.55
335.12;745.45
335.25;749.10
335.38;755.90
335.51;757.60
335.65;763.55
335.78;765.05
335.91;762.60
336.04;761.50
336.17;762.15
336.31;760.30
336.44;761.65
336.57;761.65
336.70;756.90
336.83;757.25
336.97;760.35
337.10;764.70
337.23;765.45
337.36;770.30
337.50;768.15
337.63;764.80
337.76;762.30
337.89;766.65
338.02;765.85
338.16;766.90
338.29;768.25
338.42;770.05
338.55;761.15
338.68;760.50
338.82;761.25
338.95;759.55
339.08;759.20
339.21;763.70
339.34;767.40
339.48;768.00
339.61;771.30
339.74;772.35
339.87;771.65
340.00;768.15
340.14;765.20
340.27;767.15
340.40;761.00
340.53;763.90
340.66;764.15
340.80;763.25
340.93;760.50
341.06;765.10
341.19;760.50
341.32;761.55
341.46;765.95
341.59;765.45
341.72;766.95
341.85;768.80
341.98;767.40
342.12;767.15
342.25;770.40
342.38;768.75
342.51;765.65
342.64;761.00
342.78;759.00
342.91;756.90
343.04;755.35
343.17;759.45
343.30;763.15
343.43;761.25
343.57;762.95
343.70;762.85
343.83;764.65
343.96;767.45
344.09;770.00
344.23;769.40
344.36;769.45
344.49;769.55
344.62;762.15
344.75;762.85
344.89;757.55
345.02;757.65
345.15;756.30
345.28;763.25
345.41;761.85
345.54;764.65
345.68;763.65
345.81;760.95
345.94;760.45
346.07;762.80
346.20;763.90
346.34;769.30
346.47;774.75
346.60;774.35
346.73;771.40
346.86;765.70
346.99;760.55
347.13;755.25
347.26;753.35
347.39;756.50
347.52;763.15
347.65;764.40
347.78;760.85
347.92;759.85
348.05;757.95
348.18;756.80
348.31;753.40
348.44;757.80
348.57;763.15
348.71;766.60
348.84;761.95
348.97;766.00
349.10;767.65
349.23;766.90
349.36;758.60
349.50;761.80
349.63;761.15
349.76;760.00
349.89;759.80
350.02;765.95
350.15;764.30
350.29;762.75
350.42;767.65
350.55;763.30
350.68;758.45
350.81;761.45
350.94;766.45
351.08;760.55
351.21;766.00
351.34;773.10
351.47;770.30
351.60;766.45
351.73;769.35
351.87;768.00
352.00;763.20
352.13;766.15
352.26;765.65
352.39;766.25
352.52;768.80
352.66;769.25
352.79;769.45
352.92;770.75
353.05;767.70
353.18;763.50
353.31;762.20
353.44;760.35
353.58;759.05
353.71;757.55
353.84;756.30
353.97;758.00
354.10;760.35
354.23;762.25
354.36;768.10
354.50;770.45
354.63;770.50
354.76;763.95
354.89;759.40
355.02;755.50
355.15;753.15
355.29;754.00
355.42;764.60
355.55;767.85
355.68;771.65
355.81;776.90
355.94;776.10
356.07;771.25
356.21;775.85
356.34;771.50
356.47;771.40
356.60;772.75
356.73;773.25
356.86;770.60
356.99;772.90
357.13;770.65
357.26;769.35
357.39;767.35
357.52;767.30
357.65;768.15
357.78;768.60
357.91;771.70
358.04;771.80
358.18;774.20
358.31;771.15
358.44;771.85
358.57;769.40
358.70;773.80
358.83;772.55
358.96;779.05
359.10;780.65
359.23;780.25
359.36;777.15
359.49;771.80
359.62;769.45
359.75;766.05
359.88;767.65
360.01;771.85
360.15;776.95
360.28;773.30
360.41;773.60
360.54;776.85
360.67;774.50
360.80;773.35
360.93;774.65
361.06;772.50
361.20;768.50
361.33;766.90
361.46;765.30
361.59;762.65
361.72;763.45
361.85;764.65
361.98;767.50
362.11;770.35
362.25;772.05
362.38;770.85
362.51;769.45
362.64;771.60
362.77;773.00
362.90;774.00
363.03;782.20
363.16;783.65
363.29;779.25
363.43;779.00
363.56;779.05
363.69;773.10
363.82;768.45
363.95;771.15
364.08;767.30
364.21;766.80
364.34;766.95
364.48;769.65
364.61;768.45
364.74;768.95
364.87;769.65
365.00;772.00
365.13;768.35
365.26;764.40
365.39;765.40
365.52;767.30
365.65;768.60
365.79;776.55
365.92;782.90
366.05;787.60
366.18;788.10
366.31;783.00
366.44;779.50
366.57;777.10
366.70;780.55
366.83;778.25
366.97;779.25
367.10;776.30
367.23;777.50
367.36;772.15
367.49;771.55
367.62;775.80
367.75;781.95
367.88;783.60
368.01;783.95
368.14;786.70
368.28;785.90
368.41;788.85
368.54;791.60
368.67;791.75
368.80;793.95
368.93;794.50
369.06;790.20
369.19;787.05
369.32;786.00
369.45;782.90
369.59;777.45
369.72;777.35
369.85;776.65
369.98;779.30
370.11;775.20
370.24;777.05
370.37;778.45
370.50;775.00
370.63;769.30
370.76;773.70
370.89;771.35
371.02;773.80
371.16;774.65
371.29;778.70
371.42;778.55
371.55;786.10
371.68;778.90
371.81;778.15
371.94;774.20
372.07;772.00
372.20;772.00
372.33;776.20
